Latitude	Longitude	Altitude	Time	Cond.1[mS/m]	Inph.1[ppt]	Cond.2[mS/m]	Inph.2[ppt]	Cond.3[mS/m]	Inph.3[ppt]	Inv.Cond.1[mS/m]	Inv.Cond.2[mS/m]	Inv.Thick [m]	Inv.RMS[%]	Note
49.88143344	5.282469057	448.176	02:13.3	0.46	2.76	8.72	3.17	7.2	4.08	-1	-1	-1	-1	
49.88143347	5.282468543	448.173	02:13.8	0.46	2.75	8.69	3.18	7.21	4.12	-1	-1	-1	-1	
49.88143363	5.28246657	448.158	02:14.3	0.7	2.75	8.83	3.19	7.1	4.09	-1	-1	-1	-1	
49.8814334	5.282465947	448.195	02:14.8	0.85	2.75	8.8	3.17	6.94	4.01	-1	-1	-1	-1	
49.88143368	5.282465117	448.187	02:15.3	-0.14	2.77	8.02	3.13	6.72	3.91	-1	-1	-1	-1	
49.88143366	5.28246448	448.191	02:15.8	0.8	2.76	8.93	3.19	6.88	4.05	-1	-1	-1	-1	
49.88143327	5.282463462	448.186	02:16.2	0.42	2.76	8.92	3.19	7.04	4.13	-1	-1	-1	-1	
49.88143248	5.28246255	448.195	02:16.8	-0.16	2.77	8.22	3.15	6.72	4.04	-1	-1	-1	-1	
49.88143277	5.282462557	448.197	02:17.2	-0.62	2.78	6.79	3.13	5.77	3.81	-1	-1	-1	-1	
49.88143392	5.28246312	448.189	02:17.8	-0.98	2.8	5.5	3.12	4.68	3.61	-1	-1	-1	-1	
49.88143404	5.282463315	448.154	02:18.3	-0.27	2.79	6	3.08	5.29	3.63	-1	-1	-1	-1	
49.88143483	5.282465167	448.144	02:18.7	-0.41	2.78	6.01	3.06	5.39	3.61	-1	-1	-1	-1	
49.88143624	5.282469653	448.204	02:19.3	-0.68	2.78	4.99	3.04	4.79	3.57	-1	-1	-1	-1	
49.88143804	5.282472883	448.178	02:19.8	-1.17	2.79	5.02	3.06	4.61	3.58	-1	-1	-1	-1	
49.88144058	5.282476545	448.253	02:20.2	-1.27	2.8	5.23	3.09	4.75	3.62	-1	-1	-1	-1	
49.88144155	5.28247997	448.171	02:20.8	-0.63	2.77	6.13	3.08	6.05	3.79	-1	-1	-1	-1	
49.88144277	5.282485698	448.251	02:21.3	-0.23	2.75	6.66	3.11	6.04	3.9	-1	-1	-1	-1	
49.88144497	5.282489078	448.181	02:21.7	0.74	2.74	7.31	3.15	6.15	3.99	-1	-1	-1	-1	
49.88144736	5.282492015	448.219	02:22.3	1.28	2.75	8.02	3.16	6.58	3.95	-1	-1	-1	-1	
49.88144899	5.28249705	448.201	02:22.8	2.44	2.71	8.83	3.16	6.82	3.94	1.25	8.87	0.4	29.4	
49.88145059	5.282501705	448.227	02:23.2	1.74	2.7	8.55	3.1	6.54	3.91	-1	-1	-1	-1	
49.8814529	5.282503848	448.116	02:23.8	1.49	2.72	7.9	3.15	6.17	3.89	-1	-1	-1	-1	
49.88145624	5.282509483	448.083	02:24.3	0.05	2.77	7.49	3.13	6.58	3.76	-1	-1	-1	-1	
49.88145779	5.282515922	448.094	02:24.7	-0.35	2.78	7.12	3.05	6.75	3.68	-1	-1	-1	-1	
49.88145994	5.282519183	448.069	02:25.3	0.23	2.75	6.66	3.05	6.07	3.7	-1	-1	-1	-1	
49.88146198	5.282522547	448.057	02:25.8	0.06	2.73	6.79	3.08	6.39	3.75	-1	-1	-1	-1	
49.88146386	5.282529152	448.032	02:26.2	0.35	2.72	6.83	3.08	6.35	3.83	-1	-1	-1	-1	
49.8814653	5.282532583	447.993	02:26.8	0.66	2.71	6.65	3.08	5.81	3.8	-1	-1	-1	-1	
49.88146757	5.282537028	448.033	02:27.3	0.48	2.72	6.89	3.09	6.21	3.81	-1	-1	-1	-1	
49.88146903	5.28254346	448	02:27.7	0.6	2.71	7.53	3.1	6.74	3.88	-1	-1	-1	-1	
49.88147028	5.282547555	448.037	02:28.3	-0.08	2.73	7.27	3.08	6.32	3.89	-1	-1	-1	-1	
49.88147333	5.282550863	448.068	02:28.8	-0.51	2.77	6.45	3.06	6.03	3.85	-1	-1	-1	-1	
49.8814747	5.282552752	448.089	02:29.2	-1.33	2.78	6.52	3.09	6.7	3.87	-1	-1	-1	-1	
49.88147598	5.282558298	448.044	02:29.8	-0.37	2.75	6.72	3.09	6.5	3.96	-1	-1	-1	-1	
49.88147722	5.282562675	448.057	02:30.3	0.81	2.71	7	3.06	6.27	3.9	-1	-1	-1	-1	
49.88147962	5.282567205	448.086	02:30.7	0.79	2.69	7.22	3.07	6.69	3.89	-1	-1	-1	-1	
49.88148052	5.282573863	448.042	02:31.3	0.18	2.71	7.44	3.08	7.39	4	-1	-1	-1	-1	
49.88148167	5.282578095	448.084	02:31.8	-0.06	2.73	7.14	3.01	6.85	3.84	-1	-1	-1	-1	
49.88148438	5.282582897	448.109	02:32.2	0.72	2.71	7.71	3.04	6.89	4.02	-1	-1	-1	-1	
49.88148592	5.28258554	448.081	02:32.8	0.13	2.72	7.35	3.09	7.13	4	-1	-1	-1	-1	
49.8814876	5.282589588	448.138	02:33.3	0.54	2.69	7.37	3.13	7.04	4.04	-1	-1	-1	-1	
49.88148992	5.282592945	448.052	02:33.8	0.66	2.69	7.49	3.07	7.07	3.99	-1	-1	-1	-1	
49.88149219	5.28259613	448.079	02:34.3	-0.58	2.74	7.25	3.04	7.06	3.88	-1	-1	-1	-1	
49.88149407	5.282602262	448.021	02:34.8	0.17	2.72	7.51	3.12	7.06	4	-1	-1	-1	-1	
49.88149489	5.282606912	448.129	02:35.2	0.15	2.71	7.39	3.09	6.89	4.01	-1	-1	-1	-1	
49.88149701	5.28261111	448.132	02:35.8	-0.4	2.74	7.08	3.06	6.9	3.97	-1	-1	-1	-1	
49.88149896	5.282613608	448.181	02:36.2	-0.76	2.76	7.01	3.06	7.03	3.85	-1	-1	-1	-1	
49.88150019	5.282618652	448.161	02:36.7	0.37	2.73	7.56	3.06	7.36	3.94	-1	-1	-1	-1	
49.88150126	5.282623068	448.204	02:37.3	0.53	2.71	7.98	3.12	7.56	4.17	-1	-1	-1	-1	
49.88150285	5.282626733	448.183	02:37.7	0.34	2.7	7.65	3.11	7.3	4.03	-1	-1	-1	-1	
49.88150477	5.282631547	448.223	02:38.2	0.37	2.7	7.58	3.08	7.15	3.96	-1	-1	-1	-1	
49.88150625	5.282637438	448.197	02:38.8	0.72	2.69	7.58	3.24	7.2	4.56	-1	-1	-1	-1	
49.88150793	5.282640738	448.201	02:39.2	0.26	2.73	8.03	3.44	7.81	5.27	-1	-1	-1	-1	
49.88151069	5.282643375	448.212	02:39.8	0.03	2.76	8.34	3.52	8.55	5.36	-1	-1	-1	-1	
49.88151204	5.282647925	448.13	02:40.3	0.3	2.81	8.87	3.76	8.96	5.53	-1	-1	-1	-1	
49.88151246	5.282653285	448.203	02:40.7	1.21	2.78	9.37	3.54	9.16	4.98	-1	-1	-1	-1	
49.88151317	5.282658185	448.176	02:41.2	1.53	2.73	9.44	3.32	9.57	4.45	-1	-1	-1	-1	
49.88151415	5.282662865	448.229	02:41.8	0.44	2.76	9.16	3.19	9.64	4.26	-1	-1	-1	-1	
49.8815144	5.282667798	448.222	02:42.2	0.98	2.74	9.93	3.18	10.42	4.25	-1	-1	-1	-1	
49.8815168	5.282671903	448.223	02:42.7	1.21	2.75	10.3	3.16	10.97	4.27	-1	-1	-1	-1	
49.88151955	5.282676058	448.176	02:43.3	1.79	2.73	11.1	3.19	11.16	4.3	-1	-1	-1	-1	
49.88152243	5.282681973	448.158	02:43.7	2.21	2.71	10.78	3.23	10.52	4.33	-1	-1	-1	-1	
49.88152524	5.282685348	448.103	02:44.2	1.98	2.71	10.35	3.24	10.24	4.34	-1	-1	-1	-1	
49.88152653	5.282690618	448.074	02:44.8	1.62	2.71	10.02	3.25	10.21	4.35	-1	-1	-1	-1	
49.8815273	5.282694927	448.058	02:45.2	1.04	2.73	9.61	3.21	9.88	4.35	-1	-1	-1	-1	
49.88152992	5.282697792	448.012	02:45.8	1.04	2.74	9.9	3.2	10.07	4.48	-1	-1	-1	-1	
49.88153111	5.28270153	448.028	02:46.3	0.39	2.76	9.27	3.25	9.65	4.54	-1	-1	-1	-1	
49.88153315	5.282707957	448.076	02:46.7	0.26	2.76	9.09	3.33	9.32	4.82	-1	-1	-1	-1	
49.88153386	5.282710723	448.076	02:47.2	0.14	2.76	8.34	3.34	8.91	4.58	-1	-1	-1	-1	
49.88153615	5.282713867	448.039	02:47.8	1.56	2.72	8.87	3.43	9.53	4.31	-1	-1	-1	-1	
49.88153841	5.28272035	447.99	02:48.2	2.26	2.72	10.39	3.23	10.35	4.14	-1	-1	-1	-1	
49.88154071	5.28272589	448.131	02:48.7	1.66	2.74	10.76	3.2	10.46	4.27	-1	-1	-1	-1	
49.88154256	5.282728795	448.179	02:49.3	1.65	2.75	10.65	3.36	10.68	4.77	-1	-1	-1	-1	
49.88154345	5.282733643	448.161	02:49.7	1.86	2.75	11.62	3.61	11.66	5.6	-1	-1	-1	-1	
49.881545	5.28273932	448.165	02:50.2	1.61	2.77	12.31	3.64	12.35	6.06	-1	-1	-1	-1	
49.88154745	5.282742457	448.221	02:50.8	2.31	2.78	12.29	3.61	12.15	5.33	-1	-1	-1	-1	
49.88154903	5.282748358	448.12	02:51.2	2.89	2.76	11.91	3.67	11.65	5.22	1.27	24.08	1	27.4	
49.88154974	5.28275165	448.213	02:51.7	2.52	2.75	11.71	3.61	11.8	5.16	-1	-1	-1	-1	
49.88155302	5.282755117	448.125	02:52.3	1.99	2.76	11.64	3.57	12.02	5.19	-1	-1	-1	-1	
49.88155537	5.282759687	448.096	02:52.7	1.44	2.78	11.26	3.34	11.58	4.56	-1	-1	-1	-1	
49.88155717	5.282766082	448.097	02:53.2	2.46	2.72	11.15	3.26	11.24	4.27	-1	-1	-1	-1	
49.88155988	5.282769248	448.1	02:53.8	3.39	2.7	11.96	3.37	12	4.66	1.51	21.59	0.8	23.2	
49.88156174	5.282773548	448.107	02:54.2	2.75	2.71	12.84	3.43	13.16	5.02	-1	-1	-1	-1	
49.88156309	5.282778693	448.066	02:54.8	3.72	2.73	15.19	3.6	14.41	5.5	0.85	427.48	3.7	25.5	
49.8815658	5.282781997	448.036	02:55.3	5.23	2.73	16.19	3.7	13.85	5.33	1.27	16.92	0.4	22	
49.88156814	5.282787245	447.997	02:55.7	5.12	2.75	15.17	3.47	12.87	4.76	1.18	15.72	0.4	20.1	
49.88156965	5.28279486	448.03	02:56.2	4.45	2.72	13.82	3.26	12.42	4.63	2.29	18.39	0.6	22.7	
49.88157239	5.282798782	447.972	02:56.8	4.42	2.68	13.22	3.4	12.3	4.41	2.26	18.22	0.6	23.9	
49.8815741	5.282804237	447.981	02:57.2	3.58	2.66	12.85	3.25	12.23	4.26	1.53	22	0.8	25.9	
49.8815747	5.282811385	447.973	02:57.7	4.47	2.66	13.3	3.2	11.95	4.2	2.2	17.7	0.6	23.9	
49.88157751	5.282815615	447.974	02:58.3	5.18	2.66	13.47	3.31	12.07	4.29	0.3	14.34	0.3	15.6	
49.88157975	5.282819762	448.036	02:58.7	3.54	2.68	12.76	3.21	12.18	4.2	1.53	21.91	0.8	25.5	
49.88158215	5.282826013	448.075	02:59.2	2.2	2.72	11.86	3.15	11.92	4.14	-1	-1	-1	-1	
49.88158554	5.28283039	447.99	02:59.8	2.58	2.75	12.37	3.21	11.96	4.32	-1	-1	-1	-1	
49.88158732	5.28283523	447.996	03:00.2	3.18	2.75	13	3.32	12.19	4.46	1.12	501.51	4.2	28.6	
49.88158884	5.282842642	448.027	03:00.8	2.31	2.76	12.43	3.3	12.02	4.51	-1	-1	-1	-1	
49.88159128	5.28284504	447.96	03:01.3	2.27	2.75	11.2	3.18	11.23	4.07	-1	-1	-1	-1	
49.88159415	5.282848927	447.997	03:01.7	3.18	2.71	11.35	3.06	10.96	3.89	1.38	19.72	0.8	25.5	
49.88159587	5.282856405	447.985	03:02.2	2.81	2.71	11.51	3.11	11.17	4.07	1.21	23.08	1	27.5	
49.88159664	5.282858692	448.018	03:02.8	1.4	2.73	10.69	3.05	10.98	4.03	-1	-1	-1	-1	
49.88159841	5.282861823	448.016	03:03.2	1.89	2.7	10.65	3.08	10.76	4.07	-1	-1	-1	-1	
49.88160011	5.282864905	448.059	03:03.7	1.27	2.72	10.5	3.06	10.91	4.11	-1	-1	-1	-1	
49.88160066	5.282869807	448.069	03:04.3	1.98	2.7	11.24	3.12	11.18	4.27	-1	-1	-1	-1	
49.88160116	5.282873997	448.206	03:04.7	0.75	2.73	10.13	3.06	10.66	4.12	-1	-1	-1	-1	
49.88160349	5.282877055	448.058	03:05.2	1.28	2.73	10.16	3.13	10.69	4.11	-1	-1	-1	-1	
49.88160626	5.282880428	448.105	03:05.8	1.99	2.72	10.6	3.14	11.11	4.09	-1	-1	-1	-1	
49.88160882	5.282886483	448.038	03:06.2	2.44	2.7	11.09	3.24	11.44	4.2	-1	-1	-1	-1	
49.8816107	5.282889515	448.163	03:06.8	0.96	2.74	10.5	3.14	11.42	4.16	-1	-1	-1	-1	
49.88161204	5.282891083	448.127	03:07.2	1.38	2.74	10.46	3.15	11.22	4.1	-1	-1	-1	-1	
49.88161462	5.282893512	448.174	03:07.7	0.48	2.76	9.75	3.11	11.01	4.02	-1	-1	-1	-1	
49.8816155	5.28289709	448.129	03:08.2	0.7	2.76	9.89	3.14	11.23	4.07	-1	-1	-1	-1	
49.88161748	5.28290303	448.136	03:08.7	1.41	2.73	10.66	3.19	11.68	4.31	-1	-1	-1	-1	
49.88161854	5.28290741	448.131	03:09.2	1.39	2.73	10.61	3.15	11.42	4.17	-1	-1	-1	-1	
49.8816199	5.28291359	448.197	03:09.7	1.7	2.73	10.85	3.16	11.71	4.2	-1	-1	-1	-1	
49.88162029	5.282917247	448.23	03:10.2	2.31	2.7	11.15	3.18	11.78	4.19	-1	-1	-1	-1	
49.88162296	5.28292101	448.167	03:10.7	2.95	2.67	11.05	3.19	11.67	4.12	1.27	24.12	1	28.1	
49.88162542	5.282923543	448.18	03:11.2	2.53	2.68	11.23	3.09	11.87	3.98	-1	-1	-1	-1	
49.88162704	5.282927922	448.07	03:11.7	3.13	2.67	12	3.14	12.38	4.16	1.35	25.59	1	27.4	
49.88162902	5.282934267	448.1	03:12.2	2.91	2.66	12.18	3.15	12.93	4.37	0.65	23.26	0.8	26.3	
49.88163293	5.28293796	448.042	03:12.7	4.08	2.63	13.02	3.23	13.29	4.53	0.22	16.46	0.4	20.4	
49.88163444	5.282942192	448.008	03:13.2	4.39	2.62	13.88	3.29	14.01	4.73	0.23	17.35	0.4	19.6	
49.8816366	5.28294831	447.985	03:13.7	3.51	2.64	13.8	3.22	14.3	4.81	1.56	29.55	1	29.1	
49.88163975	5.2829511	447.986	03:14.2	3.32	2.65	13.67	3.19	14.22	4.66	1.55	29.39	1	30.9	
49.88164095	5.282954347	447.982	03:14.7	3.31	2.65	13.23	3.14	13.72	4.55	1.49	28.35	1	29.5	
49.88164212	5.282959572	448.003	03:15.2	1.95	2.69	12.37	3.07	13.37	4.6	-1	-1	-1	-1	
49.88164367	5.282962435	447.964	03:15.7	3.73	2.63	12.69	3.2	13.27	4.64	1.67	23.87	0.8	25.3	
49.8816461	5.282965992	447.949	03:16.2	4.04	2.6	13.16	3.26	13.6	4.78	1.71	24.47	0.8	26.4	
49.88164905	5.282973568	447.936	03:16.7	3.72	2.61	13.35	3.27	14.07	4.95	1.53	29.08	1	30.2	
49.88165154	5.282977918	447.932	03:17.2	2.5	2.66	12.89	3.14	13.9	4.71	-1	-1	-1	-1	
49.88165445	5.282981118	447.92	03:17.7	3.17	2.66	12.76	3.23	13.73	4.62	0.69	24.7	0.8	27	
49.88165655	5.282988998	447.907	03:18.2	2.99	2.67	12.36	3.18	13.54	4.44	0.68	24.36	0.8	26.1	
49.88165927	5.282993565	447.904	03:18.7	2.98	2.68	11.9	3.16	12.54	4.39	1.36	25.92	1	30.1	
49.88166188	5.282997212	447.875	03:19.2	3.16	2.68	11.75	3.28	12.13	4.48	1.32	25.07	1	28.2	
49.88166446	5.283005857	447.926	03:19.7	2.57	2.7	11.55	3.28	12.18	4.56	-1	-1	-1	-1	
49.8816677	5.283009825	447.851	03:20.2	2.85	2.7	11.31	3.29	12.18	4.4	0.61	21.91	0.8	26.7	
49.88166951	5.283013818	447.885	03:20.7	2.58	2.69	11.31	3.24	12.28	4.26	0.62	22.09	0.8	27.5	
49.88167194	5.283022798	447.909	03:21.2	1.48	2.72	10.92	3.16	12.06	4.25	-1	-1	-1	-1	
49.88167537	5.28302855	447.826	03:21.8	2.12	2.71	10.64	3.21	11.48	4.17	-1	-1	-1	-1	
49.88167681	5.283034597	447.857	03:22.2	2.79	2.7	10.67	3.42	11.52	4.37	0.67	19.28	0.8	22.8	
49.88167936	5.283041838	447.877	03:22.7	2.68	2.69	10.94	3.33	11.8	4.49	0.59	21.23	0.8	25.7	
49.88168232	5.283047733	447.876	03:23.2	2.37	2.7	11.37	3.37	12.62	4.64	-1	-1	-1	-1	
49.88168374	5.283054103	447.921	03:23.7	1.96	2.72	11.44	3.4	13	4.75	-1	-1	-1	-1	
49.88168747	5.283060465	447.896	03:24.2	2.36	2.73	11.57	3.33	13.16	4.62	-1	-1	-1	-1	
49.88168996	5.2830672	447.84	03:24.7	3.24	2.69	12.04	3.46	13.3	4.71	0.78	22.26	0.8	22.3	
